NU_ANO_CENSO,NO_REGIAO,TP_DEPENDENCIA,TP_CATEGORIA_ESCOLA_PRIVADA,TP_LOCALIZACAO,SUM_MAT_QT_BAS,SUM_MAT_FUND_AI,SUM_MAT_BAS_ND,SUM_MAT_BAS_BRANCA,SUM_MAT_BAS_PRETA,SUM_MAT_BAS_PARDA,SUM_MAT_BAS_AMARELA,SUM_MAT_BAS_INDIGENA
2013.0,Centro-Oeste,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.0,Centro-Oeste,4.0,1.0,1.0,514165.0,169419.0,201194.0,190824.0,7923.0,109279.0,4471.0,474.0
2013.0,Centro-Oeste,4.0,1.0,2.0,2270.0,383.0,1248.0,393.0,43.0,561.0,16.0,9.0
2013.0,Centro-Oeste,4.0,2.0,1.0,8677.0,2412.0,4155.0,2523.0,108.0,1801.0,83.0,7.0
2013.0,Centro-Oeste,4.0,2.0,2.0,514.0,0.0,231.0,144.0,24.0,108.0,7.0,0.0
2013.0,Centro-Oeste,4.0,3.0,1.0,11953.0,4340.0,3884.0,4999.0,132.0,2809.0,103.0,26.0
2013.0,Centro-Oeste,4.0,4.0,1.0,121635.0,34268.0,46000.0,40713.0,2700.0,30761.0,1237.0,224.0
2013.0,Centro-Oeste,4.0,4.0,2.0,2046.0,333.0,883.0,421.0,25.0,613.0,6.0,98.0
2013.0,Nordeste,1.0,0.0,1.0,82643.0,334.0,43949.0,12161.0,2607.0,23325.0,439.0,162.0
2013.0,Nordeste,1.0,0.0,2.0,12815.0,49.0,6609.0,1454.0,374.0,4294.0,52.0,32.0
2013.0,Nordeste,2.0,0.0,1.0,3576824.0,189392.0,1446161.0,360789.0,163114.0,1587882.0,11211.0,7667.0
2013.0,Nordeste,2.0,0.0,2.0,221218.0,33327.0,84731.0,15704.0,6365.0,78981.0,588.0,34849.0
2013.0,Nordeste,3.0,0.0,1.0,5643135.0,2347805.0,1990915.0,655298.0,195492.0,2768019.0,21384.0,12027.0
2013.0,Nordeste,3.0,0.0,2.0,3081732.0,1445517.0,1083995.0,315321.0,105538.0,1551113.0,12903.0,12862.0
2013.0,Nordeste,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.0,Nordeste,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.0,Nordeste,4.0,1.0,1.0,2026400.0,759369.0,861847.0,444461.0,46752.0,660861.0,9974.0,2505.0
2013.0,Nordeste,4.0,1.0,2.0,14861.0,6780.0,5732.0,3127.0,442.0,5499.0,48.0,13.0
2013.0,Nordeste,4.0,2.0,1.0,44363.0,10744.0,16861.0,5076.0,3264.0,18918.0,194.0,50.0
2013.0,Nordeste,4.0,2.0,2.0,8358.0,777.0,3879.0,813.0,275.0,3346.0,30.0,15.0
2013.0,Nordeste,4.0,3.0,1.0,16667.0,5289.0,8669.0,3524.0,178.0,4236.0,47.0,13.0
2013.0,Nordeste,4.0,3.0,2.0,256.0,107.0,107.0,39.0,5.0,51.0,4.0,50.0
2013.0,Nordeste,4.0,4.0,1.0,228546.0,74095.0,83339.0,47756.0,6332.0,90044.0,861.0,214.0
2013.0,Nordeste,4.0,4.0,2.0,11018.0,2791.0,3765.0,1132.0,377.0,5682.0,46.0,16.0
2013.0,Norte,1.0,0.0,1.0,28823.0,1091.0,13639.0,3086.0,697.0,10729.0,147.0,525.0
2013.0,Norte,1.0,0.0,2.0,2561.0,0.0,1080.0,364.0,134.0,947.0,19.0,17.0
2013.0,Norte,2.0,0.0,1.0,1734859.0,299868.0,657830.0,161478.0,32081.0,867669.0,5139.0,10662.0
2013.0,Norte,2.0,0.0,2.0,214993.0,51816.0,85003.0,9896.0,3236.0,84150.0,571.0,32137.0
2013.0,Norte,3.0,0.0,1.0,1718422.0,829279.0,625478.0,162117.0,28807.0,889058.0,5023.0,7939.0
2013.0,Norte,3.0,0.0,2.0,998424.0,540406.0,359758.0,52860.0,19439.0,506375.0,2912.0,57080.0
2013.0,Norte,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.0,Norte,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.0,Norte,4.0,1.0,1.0,382036.0,126712.0,152824.0,72242.0,5619.0,148820.0,1889.0,642.0
2013.0,Norte,4.0,1.0,2.0,2948.0,834.0,1380.0,463.0,53.0,1040.0,6.0,6.0
2013.0,Norte,4.0,2.0,1.0,2202.0,406.0,1033.0,326.0,36.0,805.0,2.0,0.0
2013.0,Norte,4.0,2.0,2.0,2986.0,537.0,1329.0,296.0,78.0,1236.0,10.0,37.0
2013.0,Norte,4.0,3.0,1.0,6691.0,2182.0,2594.0,2234.0,69.0,1748.0,33.0,13.0
